,S No.,Movie Name,Duration,Year,Rating,Metascore,Director1,Director2,Director3
74,75,A Wednesday,104,2008,8.1,Nan,Neeraj Pandey ,nan,nan
75,76,Sarfarosh,174,1999,8.1,Nan,John Mathew Matthan ,nan,nan
76,77,Major,150,2022,8.1,Nan,Sashi Kiran Tikka ,nan,nan
77,78,Hera Pheri,156,2000,8.1,Nan,Priyadarshan ,nan,nan
78,79,Thuppakki,165,2012,8.1,Nan,A.R. Murugadoss ,nan,nan
79,80,Kaththi,166,2014,8.1,Nan,A.R. Murugadoss ,nan,nan
80,81,John Wick: Chapter 4,169,2023,8.0,78,Chad Stahelski ,nan,nan
81,82,Guardians of the Galaxy,121,2014,8.0,76,James Gunn ,nan,nan
82,83,Dune,155,2021,8.0,74,Denis Villeneuve ,nan,nan
83,84,Blade Runner 2049,164,2017,8.0,81,Denis Villeneuve ,nan,nan
84,85,Deadpool,108,2016,8.0,65,Tim Miller ,nan,nan
85,86,The Avengers,143,2012,8.0,69,Joss Whedon ,nan,nan
86,87,The Incredibles,115,2004,8.0,90,Brad Bird ,nan,nan
87,88,Casino Royale,144,2006,8.0,80,Martin Campbell ,nan,nan
88,89,The Revenant,156,2015,8.0,76,Alejandro G. Iñárritu ,nan,nan
89,90,Akira,124,1988,8.0,67,Katsuhiro Ôtomo ,nan,nan
90,91,Kill Bill: Vol,137,2004,8.0,83,Quentin Tarantino ,nan,nan
91,92,The Bourne Ultimatum,115,2007,8.0,85,Paul Greengrass ,nan,nan
92,93,Ip Man,106,2008,8.0,59,Wilson Yip ,nan,nan
93,94,Infernal Affairs,101,2002,8.0,75,Andrew Lau, Alan Mak ,nan
94,95,Wolfwalkers,103,2020,8.0,87,Tomm Moore, Ross Stewart ,nan
95,96,Baahubali: The Beginning,159,2015,8.0,Nan,S.S. Rajamouli ,nan,nan
96,97,Elite Squad,115,2007,8.0,33,José Padilha ,nan,nan
97,98,Sanjuro,96,1962,8.0,Nan,Akira Kurosawa ,nan,nan
98,99,Haider,160,2014,8.0,Nan,Vishal Bhardwaj ,nan,nan
99,100,Elite Squad 2: The Enemy Within,115,2010,8.0,71,José Padilha ,nan,nan
100,101,Tae Guk Gi: The Brotherhood of War,140,2004,8.0,64,Je-kyu Kang ,nan,nan
101,102,Karthikeya 2,150,2022,8.0,Nan,Chandoo Mondeti ,nan,nan
102,103,Andaz Apna Apna,160,1994,8.0,Nan,Rajkumar Santoshi ,nan,nan
103,104,Arjun Reddy,182,2017,8.0,Nan,Sandeep Reddy Vanga ,nan,nan
104,105,The Breath,128,2009,8.0,Nan,Levent Semerci ,nan,nan
105,106,1: Nenokkadine,170,2014,8.0,Nan,Sukumar ,nan,nan
106,107,Avatar,162,2009,7.9,83,James Cameron ,nan,nan
107,108,Iron Man,126,2008,7.9,79,Jon Favreau ,nan,nan
108,109,Zack Snyder's Justice League,242,2021,7.9,54,Zack Snyder ,nan,nan
109,110,Thor: Ragnarok,130,2017,7.9,74,Taika Waititi ,nan,nan
110,111,Star Trek,127,2009,7.9,82,J.J. Abrams ,nan,nan
111,112,Edge of Tomorrow,113,2014,7.9,71,Doug Liman ,nan,nan
112,113,The Bourne Identity,119,2002,7.9,68,Doug Liman ,nan,nan
113,114,X-Men: Days of Future Past,132,2014,7.9,75,Bryan Singer ,nan,nan
114,115,Children of Men,109,2006,7.9,84,Alfonso Cuarón ,nan,nan
115,116,The Blues Brothers,133,1980,7.9,60,John Landis ,nan,nan
116,117,District 9,112,2009,7.9,81,Neill Blomkamp ,nan,nan
117,118,"Crouching Tiger, Hidden Dragon",120,2000,7.9,94,Ang Lee ,nan,nan
118,119,A Fistful of Dollars,99,1964,7.9,65,Sergio Leone ,nan,nan
119,120,Ghost in the Shell,83,1995,7.9,76,Mamoru Oshii ,nan,nan
120,121,The Raid 2,150,2014,7.9,71,Gareth Evans ,nan,nan
121,122,Hero,120,2002,7.9,85,Yimou Zhang ,nan,nan
122,123,The Wild Bunch,135,1969,7.9,98,Sam Peckinpah ,nan,nan
123,124,Letters from Iwo Jima,141,2006,7.9,89,Clint Eastwood ,nan,nan
124,125,A Taxi Driver,137,2017,7.9,69,Hun Jang ,nan,nan
125,126,The Adventures of Robin Hood,102,1938,7.9,97,Michael Curtiz, William Keighley ,nan
126,127,Baby,159,2015,7.9,Nan,Neeraj Pandey ,nan,nan
127,128,Airlift,130,2016,7.9,Nan,Raja Menon ,nan,nan
128,129,Vishwaroopam,148,2013,7.9,Nan,Kamal Haasan ,nan,nan
129,130,Everything Everywhere All at Once,139,2022,7.8,81,Daniel Kwan, Daniel Scheinert ,nan
130,131,The Batman,176,2022,7.8,72,Matt Reeves ,nan,nan
131,132,The Gentlemen,113,2019,7.8,51,Guy Ritchie ,nan,nan
132,133,All Quiet on the Western Front,148,2022,7.8,76,Edward Berger ,nan,nan
133,134,RRR,187,2022,7.8,83,S.S. Rajamouli ,nan,nan
134,135,Rogue One: A Star Wars Story,133,2016,7.8,65,Gareth Edwards ,nan,nan
135,136,Drive,100,2011,7.8,78,Nicolas Winding Refn ,nan,nan
136,137,Dunkirk,106,2017,7.8,94,Christopher Nolan ,nan,nan
137,138,Apocalypto,139,2006,7.8,68,Mel Gibson ,nan,nan
138,139,Star Wars: Episode VII - The Force Awakens,138,2015,7.8,80,J.J. Abrams ,nan,nan
139,140,Ghostbusters,105,1984,7.8,71,Ivan Reitman ,nan,nan
140,141,Captain America: Civil War,147,2016,7.8,75,Anthony Russo, Joe Russo ,nan
141,142,Predator,107,1987,7.8,47,John McTiernan ,nan,nan
142,143,Skyfall,143,2012,7.8,81,Sam Mendes ,nan,nan
143,144,Hot Fuzz,121,2007,7.8,81,Edgar Wright ,nan,nan
144,145,Taken,90,2008,7.8,51,Pierre Morel ,nan,nan
145,146,Captain America: The Winter Soldier,136,2014,7.8,70,Anthony Russo, Joe Russo ,nan
146,147,The Fugitive,130,1993,7.8,87,Andrew Davis ,nan,nan
147,148,Captain Phillips,134,2013,7.8,82,Paul Greengrass ,nan,nan
148,149,The Last Samurai,154,2003,7.8,55,Edward Zwick ,nan,nan
149,150,Big Hero 6,102,2014,7.8,74,Don Hall, Chris Williams ,nan
150,151,I Saw the Devil,144,2010,7.8,67,Jee-woon Kim ,nan,nan
151,152,Serenity,119,2005,7.8,74,Joss Whedon ,nan,nan
152,153,The Fighter,116,2010,7.8,79,David O. Russell ,nan,nan
153,154,Thirteen Lives,147,2022,7.8,66,Ron Howard ,nan,nan
154,155,How to Train Your Dragon 2,102,2014,7.8,77,Dean DeBlois ,nan,nan
155,156,The Chaser,125,2008,7.8,64,Na Hong-jin ,nan,nan
156,157,Ninja Scroll,94,1993,7.8,Nan,Yoshiaki Kawajiri ,nan,nan
157,158,Batman: Mask of the Phantasm,76,1993,7.8,65,Eric Radomski, Kevin Altieri, Boyd Kirkland
158,159,"Aguirre, the Wrath of God",95,1972,7.8,Nan,Werner Herzog ,nan,nan
159,160,Cowboy Bebop: The Movie,115,2001,7.8,61,Shin'ichirô Watanabe, Tensai Okamura, Hiroyuki Okiura
160,161,The Killer,111,1989,7.8,82,John Woo ,nan,nan
161,162,Knockin' on Heaven's Door,87,1997,7.8,Nan,Thomas Jahn ,nan,nan
162,163,Minnal Murali,158,2021,7.8,Nan,Basil Joseph ,nan,nan
163,164,Avatar: The Way of Water,192,2022,7.7,67,James Cameron ,nan,nan
164,165,Kingsman: The Secret Service,129,2014,7.7,60,Matthew Vaughn ,nan,nan
165,166,Black Hawk Down,144,2001,7.7,74,Ridley Scott ,nan,nan
166,167,Mission: Impossible - Fallout,147,2018,7.7,86,Christopher McQuarrie ,nan,nan
167,168,The Dirty Dozen,150,1967,7.7,73,Robert Aldrich ,nan,nan
168,169,The Count of Monte Cristo,131,2002,7.7,61,Kevin Reynolds ,nan,nan
169,170,3:10 to Yuma,122,2007,7.7,76,James Mangold ,nan,nan
170,171,The Lego Movie,100,2014,7.7,83,Phil Lord, Christopher Miller ,nan
171,172,Star Trek Into Darkness,132,2013,7.7,72,J.J. Abrams ,nan,nan
172,173,The Last of the Mohicans,112,1992,7.7,76,Michael Mann ,nan,nan
173,174,Training Day,122,2001,7.7,69,Antoine Fuqua ,nan,nan
174,175,Man on Fire,146,2004,7.7,47,Tony Scott ,nan,nan
175,176,X-Men: First Class,131,2011,7.7,65,Matthew Vaughn ,nan,nan
176,177,The Longest Day,178,1962,7.7,75,Ken Annakin, Andrew Marton, Gerd Oswald
177,178,The Bourne Supremacy,108,2004,7.7,73,Paul Greengrass ,nan,nan
178,179,The Magnificent Seven,128,1960,7.7,74,John Sturges ,nan,nan
179,180,First Blood,93,1982,7.7,61,Ted Kotcheff ,nan,nan
180,181,Kung Fu Hustle,99,2004,7.7,78,Stephen Chow ,nan,nan
181,182,The Boondock Saints,108,1999,7.7,44,Troy Duffy ,nan,nan
182,183,Dirty Harry,102,1971,7.7,87,Don Siegel, Clint Eastwood ,nan
183,184,Goldfinger,110,1964,7.7,87,Guy Hamilton ,nan,nan
184,185,Star Trek II: The Wrath of Khan,113,1982,7.7,68,Nicholas Meyer ,nan,nan
185,186,Bonnie and Clyde,111,1967,7.7,86,Arthur Penn ,nan,nan
186,187,The French Connection,104,1971,7.7,94,William Friedkin ,nan,nan
187,188,Run Lola Run,80,1998,7.7,77,Tom Tykwer ,nan,nan
188,189,The Man from Nowhere,119,2010,7.7,Nan,Jeong-beom Lee ,nan,nan
189,190,Kubo and the Two Strings,101,2016,7.7,84,Travis Knight ,nan,nan
190,191,Badlands,94,1973,7.7,93,Terrence Malick ,nan,nan
191,192,Ponniyin Selvan: Part I,167,2022,7.7,Nan,Mani Ratnam ,nan,nan
192,193,Key Largo,100,1948,7.7,Nan,John Huston ,nan,nan
193,194,Scarface,93,1932,7.7,90,Howard Hawks, Richard Rosson ,nan
194,195,Hard Boiled,128,1992,7.7,Nan,John Woo ,nan,nan
195,196,Joint Security Area,110,2000,7.7,58,Park Chan-wook ,nan,nan
196,197,Dragon Ball Super: Broly,100,2018,7.7,59,Tatsuya Nagamine ,nan,nan
197,198,Eega,145,2012,7.7,Nan,S.S. Rajamouli ,nan,nan
198,199,Udta Punjab,148,2016,7.7,Nan,Abhishek Chaubey ,nan,nan
199,200,Raazi,138,2018,7.7,Nan,Meghna Gulzar ,nan,nan
200,201,Guardians of the Galaxy Vol,136,2017,7.6,67,James Gunn ,nan,nan
201,202,Deadpool 2,119,2018,7.6,66,David Leitch ,nan,nan
202,203,The Fifth Element,126,1997,7.6,52,Luc Besson ,nan,nan
203,204,Sicario,121,2015,7.6,82,Denis Villeneuve ,nan,nan
204,205,300,117,2006,7.6,52,Zack Snyder ,nan,nan
205,206,Harry Potter and the Half-Blood Prince,153,2009,7.6,78,David Yates ,nan,nan
206,207,Star Wars: Episode III - Revenge of the Sith,140,2005,7.6,68,George Lucas ,nan,nan
207,208,Baby Driver,113,2017,7.6,86,Edgar Wright ,nan,nan
208,209,Watchmen,162,2009,7.6,56,Zack Snyder ,nan,nan
209,210,The Warriors,93,1979,7.6,65,Walter Hill ,nan,nan
210,211,Incredibles 2,118,2018,7.6,80,Brad Bird ,nan,nan
211,212,Where Eagles Dare,158,1968,7.6,63,Brian G. Hutton ,nan,nan
212,213,RoboCop,102,1987,7.6,70,Paul Verhoeven ,nan,nan
213,214,Train to Busan,118,2016,7.6,73,Sang-ho Yeon ,nan,nan
214,215,Zombieland,88,2009,7.6,73,Ruben Fleischer ,nan,nan
215,216,Kung Fu Panda,92,2008,7.6,74,Mark Osborne, John Stevenson ,nan
216,217,Creed,133,2015,7.6,82,Ryan Coogler ,nan,nan
217,218,The Road Warrior,96,1981,7.6,77,George Miller ,nan,nan
218,219,Kick-Ass,117,2010,7.6,66,Matthew Vaughn ,nan,nan
219,220,Falling Down,113,1993,7.6,56,Joel Schumacher ,nan,nan
220,221,Minority Report,145,2002,7.6,80,Steven Spielberg ,nan,nan
221,222,Sherlock Holmes,128,2009,7.6,57,Guy Ritchie ,nan,nan
222,223,Lethal Weapon,109,1987,7.6,68,Richard Donner ,nan,nan
223,224,Rise of the Planet of the Apes,105,2011,7.6,68,Rupert Wyatt ,nan,nan
224,225,Battle Royale,114,2000,7.6,81,Kinji Fukasaku ,nan,nan
225,226,Dawn of the Planet of the Apes,130,2014,7.6,79,Matt Reeves ,nan,nan
226,227,The Raid: Redemption,101,2011,7.6,73,Gareth Evans ,nan,nan
227,228,End of Watch,109,2012,7.6,68,David Ayer ,nan,nan
228,229,Enter the Dragon,102,1973,7.6,83,Robert Clouse ,nan,nan
229,230,Die Hard with a Vengeance,128,1995,7.6,58,John McTiernan ,nan,nan
230,231,Hotel Mumbai,123,2018,7.6,62,Anthony Maras ,nan,nan
231,232,Only the Brave,134,2017,7.6,72,Joseph Kosinski ,nan,nan
232,233,Escape from Alcatraz,112,1979,7.6,76,Don Siegel ,nan,nan
233,234,Star Trek: First Contact,111,1996,7.6,71,Jonathan Frakes ,nan,nan
234,235,United 93,111,2006,7.6,90,Paul Greengrass ,nan,nan
235,236,The Taking of Pelham One Two Three,104,1974,7.6,68,Joseph Sargent ,nan,nan
236,237,Vampire Hunter D: Bloodlust,103,2000,7.6,62,Jack Fletcher, Yoshiaki Kawajiri ,nan
237,238,Fearless,104,2006,7.6,70,Ronny Yu ,nan,nan
238,239,Pushpa: The Rise - Part 1,179,2021,7.6,Nan,Sukumar ,nan,nan
239,240,Ludo,149,2020,7.6,Nan,Anurag Basu ,nan,nan
240,241,Cell 211,113,2009,7.6,Nan,Daniel Monzón ,nan,nan
241,242,Evangelion: 1,98,2007,7.6,66,Masayuki, Kazuya Tsurumaki, Hideaki Anno 
242,243,Lupin III: The Castle of Cagliostro,102,1979,7.6,72,Hayao Miyazaki ,nan,nan
243,244,The Boy and the Beast,119,2015,7.6,65,Mamoru Hosoda ,nan,nan
244,245,Mortal World,107,2018,7.6,Nan,Ali Atay ,nan,nan
245,246,The Covenant,123,2023,7.5,63,Guy Ritchie ,nan,nan
246,247,Indiana Jones and the Temple of Doom,118,1984,7.5,57,Steven Spielberg ,nan,nan
247,248,Batman,126,1989,7.5,69,Tim Burton ,nan,nan
248,249,Harry Potter and the Order of the Phoenix,138,2007,7.5,71,David Yates ,nan,nan
249,250,Scott Pilgrim vs,112,2010,7.5,69,Edgar Wright ,nan,nan
250,251,Fury,134,2014,7.5,64,David Ayer ,nan,nan
251,252,Lone Survivor,121,2013,7.5,60,Peter Berg ,nan,nan
252,253,The Hunger Games: Catching Fire,146,2013,7.5,76,Francis Lawrence ,nan,nan
253,254,Total Recall,113,1990,7.5,60,Paul Verhoeven ,nan,nan
254,255,Master and Commander: The Far Side of the World,138,2003,7.5,81,Peter Weir ,nan,nan
255,256,Doctor Strange,115,2016,7.5,72,Scott Derrickson ,nan,nan
256,257,The Crow,102,1994,7.5,71,Alex Proyas ,nan,nan
257,258,Upgrade,100,2018,7.5,67,Leigh Whannell ,nan,nan
258,259,It's a Mad Mad Mad Mad World,210,1963,7.5,59,Stanley Kramer ,nan,nan
259,260,Collateral,120,2004,7.5,71,Michael Mann ,nan,nan
260,261,The Hunt for Red October,135,1990,7.5,58,John McTiernan ,nan,nan
261,262,Source Code,93,2011,7.5,74,Duncan Jones ,nan,nan
262,263,Munich,164,2005,7.5,74,Steven Spielberg ,nan,nan
263,264,Enemy at the Gates,131,2001,7.5,53,Jean-Jacques Annaud ,nan,nan
264,265,Riders of Justice,116,2020,7.5,81,Anders Thomas Jensen ,nan,nan
265,266,Grindhouse,191,2007,7.5,77,Robert Rodriguez, Eli Roth, Quentin Tarantino
266,267,Tora! Tora! Tora!,144,1970,7.5,46,Richard Fleischer, Kinji Fukasaku, Toshio Masuda
267,268,Midnight Run,126,1988,7.5,78,Martin Brest ,nan,nan
268,269,The Guns of Navarone,158,1961,7.5,72,J. Lee Thompson ,nan,nan
269,270,Headhunters,100,2011,7.5,72,Morten Tyldum ,nan,nan
270,271,Police Story,100,1985,7.5,78,Jackie Chan, Chi-Hwa Chen ,nan
271,272,13 Assassins,141,2010,7.5,84,Takashi Miike ,nan,nan
272,273,Ip Man 2,108,2010,7.5,67,Wilson Yip ,nan,nan
273,274,House of Flying Daggers,119,2004,7.5,89,Yimou Zhang ,nan,nan
274,275,New World,135,2013,7.5,58,Park Hoon-jung ,nan,nan
275,276,A Bittersweet Life,119,2005,7.5,Nan,Jee-woon Kim ,nan,nan
276,277,The Legend of Drunken Master,102,1994,7.5,74,Chia-Liang Liu, Jackie Chan ,nan
277,278,The Blind Swordsman: Zatoichi,116,2003,7.5,75,Takeshi Kitano ,nan,nan
278,279,Delhi Belly,103,2011,7.5,66,Abhinay Deo, Akshat Verma ,nan
279,280,Tanhaji: The Unsung Warrior,135,2020,7.5,Nan,Om Raut ,nan,nan
280,281,Mesrine: Killer Instinct,113,2008,7.5,71,Jean-François Richet ,nan,nan
281,282,Jodhaa Akbar,213,2008,7.5,69,Ashutosh Gowariker ,nan,nan
282,283,Mersal,172,2017,7.5,Nan,Atlee ,nan,nan
283,284,To Strike,130,2013,7.5,Nan,Bilal Lashari ,nan,nan
284,285,John Wick,101,2014,7.4,68,Chad Stahelski, David Leitch ,nan
285,286,John Wick: Chapter 3 - Parabellum,130,2019,7.4,73,Chad Stahelski ,nan,nan
286,287,John Wick: Chapter 2,122,2017,7.4,75,Chad Stahelski ,nan,nan
287,288,Shang-Chi and the Legend of the Ten Rings,132,2021,7.4,71,Destin Daniel Cretton ,nan,nan
288,289,Nobody,92,2021,7.4,64,Ilya Naishuller ,nan,nan
289,290,Spider-Man: Homecoming,133,2017,7.4,73,Jon Watts ,nan,nan
290,291,Spider-Man,121,2002,7.4,73,Sam Raimi ,nan,nan
291,292,Ready Player One,140,2018,7.4,64,Steven Spielberg ,nan,nan
292,293,Predestination,97,2014,7.4,69,Michael Spierig, Peter Spierig ,nan
293,294,Mission: Impossible - Rogue Nation,131,2015,7.4,75,Christopher McQuarrie ,nan,nan
294,295,Spider-Man: Far from Home,129,2019,7.4,69,Jon Watts ,nan,nan
295,296,Mission: Impossible - Ghost Protocol,132,2011,7.4,73,Brad Bird ,nan,nan
296,297,The Last Duel,152,2021,7.4,67,Ridley Scott ,nan,nan
297,298,Spider-Man 2,127,2004,7.4,83,Sam Raimi ,nan,nan
298,299,Wonder Woman,141,2017,7.4,76,Patty Jenkins ,nan,nan
299,300,Superman,143,1978,7.4,82,Richard Donner ,nan,nan
300,301,The Rock,136,1996,7.4,58,Michael Bay ,nan,nan
301,302,Looper,119,2012,7.4,84,Rian Johnson ,nan,nan
302,303,X2: X-Men United,134,2003,7.4,68,Bryan Singer ,nan,nan
303,304,Law Abiding Citizen,109,2009,7.4,34,F. Gary Gray ,nan,nan
304,305,War for the Planet of the Apes,140,2017,7.4,82,Matt Reeves ,nan,nan
305,306,How to Train Your Dragon: The Hidden World,104,2019,7.4,71,Dean DeBlois ,nan,nan
306,307,A History of Violence,96,2005,7.4,82,David Cronenberg ,nan,nan
307,308,Open Range,139,2003,7.4,67,Kevin Costner ,nan,nan
308,309,Sherlock Holmes: A Game of Shadows,129,2011,7.4,48,Guy Ritchie ,nan,nan
309,310,Bullitt,114,1968,7.4,81,Peter Yates ,nan,nan
310,311,From Russia with Love,115,1963,7.4,83,Terence Young ,nan,nan
311,312,Thief,123,1981,7.4,78,Michael Mann ,nan,nan
312,313,Black Dynamite,84,2009,7.4,65,Scott Sanders ,nan,nan
313,314,Rurouni Kenshin Part I: Origins,134,2012,7.4,Nan,Keishi Otomo ,nan,nan
314,315,Mission Majnu,129,2023,7.4,Nan,Shantanu Bagchi ,nan,nan
315,316,Drunken Master,111,1978,7.4,68,Woo-Ping Yuen ,nan,nan
316,317,Summer Wars,114,2009,7.4,63,Mamoru Hosoda ,nan,nan
317,318,Mesrine: Public Enemy No,133,2008,7.4,72,Jean-François Richet ,nan,nan
318,319,Dungeons & Dragons: Honor Among Thieves,134,2023,7.3,72,John Francis Daley, Jonathan Goldstein ,nan
319,320,Bullet Train,127,2022,7.3,49,David Leitch ,nan,nan
320,321,No Time to Die,163,2021,7.3,68,Cary Joji Fukunaga ,nan,nan
321,322,Fast Five,130,2011,7.3,66,Justin Lin ,nan,nan
322,323,Tenet,150,2020,7.3,69,Christopher Nolan ,nan,nan
323,324,The Karate Kid,126,1984,7.3,60,John G. Avildsen ,nan,nan
324,325,True Lies,141,1994,7.3,63,James Cameron ,nan,nan
325,326,Starship Troopers,129,1997,7.3,52,Paul Verhoeven ,nan,nan
326,327,Men in Black,98,1997,7.3,71,Barry Sonnenfeld ,nan,nan
327,328,Ant-Man,117,2015,7.3,64,Peyton Reed ,nan,nan
328,329,The Accountant,128,2016,7.3,51,Gavin O'Connor ,nan,nan
329,330,The Nice Guys,116,2016,7.3,70,Shane Black ,nan,nan
330,331,Black Panther,134,2018,7.3,88,Ryan Coogler ,nan,nan
331,332,Avengers: Age of Ultron,141,2015,7.3,66,Joss Whedon ,nan,nan
332,333,X-Men,104,2000,7.3,64,Bryan Singer ,nan,nan
333,334,Dawn of the Dead,101,2004,7.3,59,Zack Snyder ,nan,nan
334,335,Speed,116,1994,7.3,78,Jan de Bont ,nan,nan
335,336,American Sniper,133,2014,7.3,72,Clint Eastwood ,nan,nan
336,337,Face/Off,138,1997,7.3,82,John Woo ,nan,nan
337,338,Alita: Battle Angel,122,2019,7.3,53,Robert Rodriguez ,nan,nan
338,339,13 Hours,144,2016,7.3,48,Michael Bay ,nan,nan
