,S No.,Movie Name,Duration,Year,Rating,Metascore,Director1,Director2,Director3
339,340,Pirates of the Caribbean: Dead Man's Chest,151,2006,7.3,53,Gore Verbinski ,nan,nan
340,341,Beverly Hills Cop,105,1984,7.3,66,Martin Brest ,nan,nan
341,342,El Camino: A Breaking Bad Movie,122,2019,7.3,72,Vince Gilligan ,nan,nan
342,343,Raya and the Last Dragon,107,2021,7.3,74,Don Hall, Carlos López Estrada, Paul Briggs
343,344,Patriots Day,133,2016,7.3,69,Peter Berg ,nan,nan
344,345,Eye in the Sky,102,2015,7.3,73,Gavin Hood ,nan,nan
345,346,The Lego Batman Movie,104,2017,7.3,75,Chris McKay ,nan,nan
346,347,Enemy of the State,132,1998,7.3,67,Tony Scott ,nan,nan
347,348,Okja,120,2017,7.3,75,Bong Joon Ho ,nan,nan
348,349,Equilibrium,107,2002,7.3,33,Kurt Wimmer ,nan,nan
349,350,Southpaw,124,2015,7.3,57,Antoine Fuqua ,nan,nan
350,351,Megamind,95,2010,7.3,63,Tom McGrath ,nan,nan
351,352,Layer Cake,105,2004,7.3,73,Matthew Vaughn ,nan,nan
352,353,The Adventures of Tintin,107,2011,7.3,68,Steven Spielberg ,nan,nan
353,354,The Next Three Days,133,2010,7.3,52,Paul Haggis ,nan,nan
354,355,Grosse Pointe Blank,107,1997,7.3,76,George Armitage ,nan,nan
355,356,Star Trek IV: The Voyage Home,119,1986,7.3,71,Leonard Nimoy ,nan,nan
356,357,The Negotiator,140,1998,7.3,62,F. Gary Gray ,nan,nan
357,358,To Live and Die in L,116,1985,7.3,81,William Friedkin ,nan,nan
358,359,Crimson Tide,116,1995,7.3,66,Tony Scott ,nan,nan
359,360,Invictus,134,2009,7.3,74,Clint Eastwood ,nan,nan
360,361,Nikita,117,1990,7.3,56,Luc Besson ,nan,nan
361,362,Shaolin Soccer,87,2001,7.3,68,Stephen Chow ,nan,nan
362,363,Running Scared,122,2006,7.3,41,Wayne Kramer ,nan,nan
363,364,The Getaway,123,1972,7.3,55,Sam Peckinpah ,nan,nan
364,365,Jason and the Argonauts,104,1963,7.3,69,Don Chaffey ,nan,nan
365,366,Assault on Precinct 13,91,1976,7.3,89,John Carpenter ,nan,nan
366,367,Red Cliff,148,2008,7.3,73,John Woo ,nan,nan
367,368,Get Carter,112,1971,7.3,80,Mike Hodges ,nan,nan
368,369,Bacurau,131,2019,7.3,82,Juliano Dornelles, Kleber Mendonça Filho ,nan
369,370,Ghajini,186,2008,7.3,Nan,A.R. Murugadoss ,nan,nan
370,371,The Baader Meinhof Complex,150,2008,7.3,76,Uli Edel ,nan,nan
371,372,Max Manus: Man of War,118,2008,7.3,60,Joachim Rønning, Espen Sandberg ,nan
372,373,Master,178,2021,7.3,Nan,Lokesh Kanagaraj ,nan,nan
373,374,The Suicide Squad,132,2021,7.2,72,James Gunn ,nan,nan
374,375,The Hunger Games,142,2012,7.2,68,Gary Ross ,nan,nan
375,376,The Equalizer,132,2014,7.2,57,Antoine Fuqua ,nan,nan
376,377,From Dusk Till Dawn,108,1996,7.2,48,Robert Rodriguez ,nan,nan
377,378,Silverado,133,1985,7.2,64,Lawrence Kasdan ,nan,nan
378,379,The Patriot,165,2000,7.2,63,Roland Emmerich ,nan,nan
379,380,Point Break,122,1991,7.2,59,Kathryn Bigelow ,nan,nan
380,381,21 Jump Street,109,2012,7.2,69,Phil Lord, Christopher Miller ,nan
381,382,Kingdom of Heaven,144,2005,7.2,63,Ridley Scott ,nan,nan
382,383,Big Trouble in Little China,99,1986,7.2,53,John Carpenter ,nan,nan
383,384,King Kong,187,2005,7.2,81,Peter Jackson ,nan,nan
384,385,The Man from U,116,2015,7.2,56,Guy Ritchie ,nan,nan
385,386,Ronin,122,1998,7.2,67,John Frankenheimer ,nan,nan
386,387,Rango,107,2011,7.2,75,Gore Verbinski ,nan,nan
387,388,Natural Born Killers,119,1994,7.2,74,Oliver Stone ,nan,nan
388,389,They Live,94,1988,7.2,55,John Carpenter ,nan,nan
389,390,The Matrix Reloaded,138,2003,7.2,62,Lana Wachowski, Lilly Wachowski ,nan
390,391,I Am Legend,101,2007,7.2,65,Francis Lawrence ,nan,nan
391,392,The Life Aquatic with Steve Zissou,119,2004,7.2,62,Wes Anderson ,nan,nan
392,393,GoldenEye,130,1995,7.2,65,Martin Campbell ,nan,nan
393,394,Unbroken,137,2014,7.2,59,Angelina Jolie ,nan,nan
394,395,Willow,126,1988,7.2,47,Ron Howard ,nan,nan
395,396,The Croods,98,2013,7.2,55,Kirk DeMicco, Chris Sanders ,nan
396,397,RocknRolla,114,2008,7.2,53,Guy Ritchie ,nan,nan
397,398,Dr,110,1962,7.2,78,Terence Young ,nan,nan
398,399,Old Henry,99,2021,7.2,69,Potsy Ponciroli ,nan,nan
399,400,Friday Night Lights,118,2004,7.2,70,Peter Berg ,nan,nan
400,401,Team America: World Police,98,2004,7.2,64,Trey Parker ,nan,nan
401,402,Kung Fu Panda 2,90,2011,7.2,67,Jennifer Yuh Nelson ,nan,nan
402,403,Anthropoid,120,2016,7.2,59,Sean Ellis ,nan,nan
403,404,Star Trek VI: The Undiscovered Country,110,1991,7.2,65,Nicholas Meyer ,nan,nan
404,405,Batman v Superman: Dawn of Justice,182,2016,7.2,Nan,Zack Snyder ,nan,nan
405,406,In the Line of Fire,128,1993,7.2,74,Wolfgang Petersen ,nan,nan
406,407,Rise of the Guardians,97,2012,7.2,58,Peter Ramsey ,nan,nan
407,408,Lethal Weapon 2,114,1989,7.2,70,Richard Donner ,nan,nan
408,409,The Italian Job,99,1969,7.2,70,Peter Collinson ,nan,nan
409,410,Vanishing Point,99,1971,7.2,61,Richard C. Sarafian ,nan,nan
410,411,War Horse,146,2011,7.2,72,Steven Spielberg ,nan,nan
411,412,Runaway Train,111,1985,7.2,67,Andrey Konchalovskiy ,nan,nan
412,413,Magnum Force,124,1973,7.2,58,Ted Post ,nan,nan
413,414,The Transformers: The Movie,84,1986,7.2,43,Nelson Shin ,nan,nan
414,415,Arlington Road,117,1999,7.2,65,Mark Pellington ,nan,nan
415,416,The Way of the Dragon,90,1972,7.2,58,Bruce Lee ,nan,nan
416,417,The Hitcher,97,1986,7.2,32,Robert Harmon ,nan,nan
417,418,Kon-Tiki,118,2012,7.2,62,Joachim Rønning, Espen Sandberg ,nan
418,419,The Siege of Jadotville,108,2016,7.2,Nan,Richie Smyth ,nan,nan
419,420,Django,91,1966,7.2,75,Sergio Corbucci ,nan,nan
420,421,The Witcher: Nightmare of the Wolf,83,2021,7.2,67,Kwang Il Han ,nan,nan
421,422,Bajirao Mastani,158,2015,7.2,Nan,Sanjay Leela Bhansali ,nan,nan
422,423,'71,99,2014,7.2,83,Yann Demange ,nan,nan
423,424,Harry Brown,103,2009,7.2,55,Daniel Barber ,nan,nan
424,425,Fist of Fury,107,1972,7.2,68,Wei Lo ,nan,nan
425,426,Marshland,105,2014,7.2,Nan,Alberto Rodríguez ,nan,nan
426,427,The Good the Bad the Weird,130,2008,7.2,69,Jee-woon Kim ,nan,nan
427,428,Mongol: The Rise of Genghis Khan,126,2007,7.2,74,Sergei Bodrov ,nan,nan
428,429,Final Fantasy VII: Advent Children,101,2005,7.2,Nan,Tetsuya Nomura, Takeshi Nozue ,nan
429,430,Holiday: A Soldier is Never Off Duty,160,2014,7.2,Nan,A.R. Murugadoss ,nan,nan
430,431,Furious 7,137,2015,7.1,67,James Wan ,nan,nan
431,432,The Mummy,124,1999,7.1,48,Stephen Sommers ,nan,nan
432,433,Wrath of Man,119,2021,7.1,57,Guy Ritchie ,nan,nan
433,434,Mission: Impossible,110,1996,7.1,59,Brian De Palma ,nan,nan
434,435,Free Guy,115,2021,7.1,62,Shawn Levy ,nan,nan
435,436,Dredd,95,2012,7.1,60,Pete Travis ,nan,nan
436,437,Everest,121,2015,7.1,64,Baltasar Kormákur ,nan,nan
437,438,Tropic Thunder,107,2008,7.1,71,Ben Stiller ,nan,nan
438,439,Prey,100,2022,7.1,71,Dan Trachtenberg ,nan,nan
439,440,Man of Steel,143,2013,7.1,55,Zack Snyder ,nan,nan
440,441,Iron Man 3,130,2013,7.1,62,Shane Black ,nan,nan
441,442,Shooter,124,2007,7.1,53,Antoine Fuqua ,nan,nan
442,443,Pirates of the Caribbean: At World's End,169,2007,7.1,50,Gore Verbinski ,nan,nan
443,444,Blade,120,1998,7.1,47,Stephen Norrington ,nan,nan
444,445,Batman Returns,126,1992,7.1,68,Tim Burton ,nan,nan
445,446,Snowpiercer,126,2013,7.1,84,Bong Joon Ho ,nan,nan
446,447,DC League of Super-Pets,105,2022,7.1,56,Jared Stern, Sam J. Levine ,nan
447,448,American Made,115,2017,7.1,65,Doug Liman ,nan,nan
448,449,"I, Robot",115,2004,7.1,59,Alex Proyas ,nan,nan
449,450,WarGames,114,1983,7.1,77,John Badham ,nan,nan
450,451,We Were Soldiers,138,2002,7.1,65,Randall Wallace ,nan,nan
451,452,Highlander,116,1986,7.1,24,Russell Mulcahy ,nan,nan
452,453,Creed II,130,2018,7.1,66,Steven Caple Jr. ,nan,nan
453,454,Desperado,104,1995,7.1,55,Robert Rodriguez ,nan,nan
454,455,Deepwater Horizon,107,2016,7.1,68,Peter Berg ,nan,nan
455,456,Live Free or Die Hard,128,2007,7.1,69,Len Wiseman ,nan,nan
456,457,Flags of Our Fathers,135,2006,7.1,79,Clint Eastwood ,nan,nan
457,458,The Poseidon Adventure,117,1972,7.1,70,Ronald Neame ,nan,nan
458,459,Escape from New York,99,1981,7.1,76,John Carpenter ,nan,nan
459,460,Planet Terror,105,2007,7.1,Nan,Robert Rodriguez ,nan,nan
460,461,Kung Fu Panda 3,95,2016,7.1,66,Alessandro Carloni, Jennifer Yuh Nelson ,nan
461,462,Allied,124,2016,7.1,60,Robert Zemeckis ,nan,nan
462,463,No Way Out,114,1987,7.1,77,Roger Donaldson ,nan,nan
463,464,Rocky Balboa,102,2006,7.1,63,Sylvester Stallone ,nan,nan
464,465,Deja Vu,126,2006,7.1,59,Tony Scott ,nan,nan
465,466,Casualties of War,113,1989,7.1,75,Brian De Palma ,nan,nan
466,467,Three Kings,114,1999,7.1,82,David O. Russell ,nan,nan
467,468,Die Hard 2,124,1990,7.1,67,Renny Harlin ,nan,nan
468,469,Defiance,137,2008,7.1,58,Edward Zwick ,nan,nan
469,470,Brawl in Cell Block 99,132,2017,7.1,79,S. Craig Zahler ,nan,nan
470,471,Payback,100,1999,7.1,46,Brian Helgeland ,nan,nan
471,472,Enthiran,174,2010,7.1,Nan,S. Shankar ,nan,nan
472,473,Ong-Bak: The Thai Warrior,105,2003,7.1,69,Prachya Pinkaew ,nan,nan
473,474,Megan Leavey,116,2017,7.1,66,Gabriela Cowperthwaite ,nan,nan
474,475,The Girl Who Played with Fire,129,2009,7.1,66,Daniel Alfredson ,nan,nan
475,476,Mosul,101,2019,7.1,71,Matthew Michael Carnahan ,nan,nan
476,477,District B13,84,2004,7.1,70,Pierre Morel ,nan,nan
477,478,God Bless America,105,2011,7.1,56,Bobcat Goldthwait ,nan,nan
478,479,In Order of Disappearance,116,2014,7.1,74,Hans Petter Moland ,nan,nan
479,480,JCVD,97,2008,7.1,64,Mabrouk El Mechri ,nan,nan
480,481,Kaabil,139,2017,7.1,Nan,Sanjay Gupta ,nan,nan
481,482,Dragon Ball Z: Battle of Gods,85,2013,7.1,Nan,Masahiro Hosoda ,nan,nan
482,483,Don,171,2006,7.1,Nan,Farhan Akhtar ,nan,nan
483,484,Koi,171,2003,7.1,Nan,Rakesh Roshan ,nan,nan
484,485,Micmacs,105,2009,7.1,62,Jean-Pierre Jeunet ,nan,nan
485,486,Fanaa,168,2006,7.1,Nan,Kunal Kohli ,nan,nan
486,487,Marighella,155,2019,7.1,Nan,Wagner Moura ,nan,nan
487,488,Gabbar Is Back,128,2015,7.1,Nan,Radha Krishna Jagarlamudi ,nan,nan
488,489,Sisu,91,2022,7.0,70,Jalmari Helander ,nan,nan
489,490,Shazam!,132,2019,7.0,71,David F. Sandberg ,nan,nan
490,491,Transformers,144,2007,7.0,61,Michael Bay ,nan,nan
491,492,The Unbearable Weight of Massive Talent,107,2022,7.0,68,Tom Gormican ,nan,nan
492,493,Fast & Furious 6,130,2013,7.0,61,Justin Lin ,nan,nan
493,494,The Northman,137,2022,7.0,82,Robert Eggers ,nan,nan
494,495,Jack Reacher,130,2012,7.0,50,Christopher McQuarrie ,nan,nan
495,496,Thor,115,2011,7.0,57,Kenneth Branagh ,nan,nan
496,497,Underworld,121,2003,7.0,42,Len Wiseman ,nan,nan
497,498,Independence Day,145,1996,7.0,59,Roland Emmerich ,nan,nan
498,499,Ant-Man and the Wasp,118,2018,7.0,70,Peyton Reed ,nan,nan
499,500,Constantine,121,2005,7.0,50,Francis Lawrence ,nan,nan
500,501,Super 8,112,2011,7.0,72,J.J. Abrams ,nan,nan
501,502,Cloverfield,85,2008,7.0,64,Matt Reeves ,nan,nan
502,503,World War Z,116,2013,7.0,63,Marc Forster ,nan,nan
503,504,Death Proof,127,2007,7.0,Nan,Quentin Tarantino ,nan,nan
504,505,Star Trek Beyond,122,2016,7.0,68,Justin Lin ,nan,nan
505,506,Greyhound,91,2020,7.0,64,Aaron Schneider ,nan,nan
506,507,Rush Hour,98,1998,7.0,60,Brett Ratner ,nan,nan
507,508,Oblivion,124,2013,7.0,54,Joseph Kosinski ,nan,nan
508,509,Stargate,116,1994,7.0,42,Roland Emmerich ,nan,nan
509,510,The Italian Job,111,2003,7.0,68,F. Gary Gray ,nan,nan
510,511,Smokey and the Bandit,96,1977,7.0,50,Hal Needham ,nan,nan
511,512,Spy,120,2015,7.0,75,Paul Feig ,nan,nan
512,513,Sicario: Day of the Soldado,122,2018,7.0,61,Stefano Sollima ,nan,nan
513,514,Pitch Black,109,2000,7.0,49,David Twohy ,nan,nan
514,515,RED,111,2010,7.0,60,Robert Schwentke ,nan,nan
515,516,Logan Lucky,118,2017,7.0,78,Steven Soderbergh ,nan,nan
516,517,Den of Thieves,140,2018,7.0,49,Christian Gudegast ,nan,nan
517,518,Unleashed,103,2005,7.0,58,Louis Leterrier ,nan,nan
518,519,22 Jump Street,112,2014,7.0,71,Phil Lord, Christopher Miller ,nan
519,520,Brotherhood of the Wolf,142,2001,7.0,57,Christophe Gans ,nan,nan
520,521,Public Enemies,140,2009,7.0,70,Michael Mann ,nan,nan
521,522,Bronson,92,2008,7.0,71,Nicolas Winding Refn ,nan,nan
522,523,Real Steel,127,2011,7.0,56,Shawn Levy ,nan,nan
523,524,The Foreigner,113,2017,7.0,55,Martin Campbell ,nan,nan
524,525,Chip 'n Dale: Rescue Rangers,97,2022,7.0,66,Akiva Schaffer ,nan,nan
525,526,Rambo,92,2008,7.0,46,Sylvester Stallone ,nan,nan
526,527,The Kingdom,110,2007,7.0,56,Peter Berg ,nan,nan
527,528,Chronicle,84,2012,7.0,69,Josh Trank ,nan,nan
528,529,Fallen,124,1998,7.0,Nan,Gregory Hoblit ,nan,nan
529,530,Body of Lies,128,2008,7.0,57,Ridley Scott ,nan,nan
530,531,The Last Boy Scout,105,1991,7.0,52,Tony Scott ,nan,nan
531,532,Hellboy II: The Golden Army,120,2008,7.0,78,Guillermo del Toro ,nan,nan
532,533,Thunderbolt and Lightfoot,115,1974,7.0,62,Michael Cimino ,nan,nan
533,534,9,79,2009,7.0,60,Shane Acker ,nan,nan
534,535,A Most Violent Year,125,2014,7.0,79,J.C. Chandor ,nan,nan
535,536,Ip Man 4: The Finale,107,2019,7.0,62,Wilson Yip ,nan,nan
536,537,The Towering Inferno,165,1974,7.0,69,John Guillermin ,nan,nan
537,538,The Spy Who Loved Me,125,1977,7.0,55,Lewis Gilbert ,nan,nan
538,539,Filth,97,2013,7.0,56,Jon S. Baird ,nan,nan
539,540,Maverick,127,1994,7.0,62,Richard Donner ,nan,nan
540,541,Spy Game,126,2001,7.0,63,Tony Scott ,nan,nan
541,542,Taxi,89,1998,7.0,Nan,Gérard Pirès ,nan,nan
542,543,Ichi the Killer,129,2001,7.0,55,Takashi Miike ,nan,nan
543,544,The War of the Worlds,85,1953,7.0,78,Byron Haskin ,nan,nan
544,545,An Action Hero,130,2022,7.0,Nan,Anirudh Iyer ,nan,nan
545,546,Juice,95,1992,7.0,60,Ernest R. Dickerson ,nan,nan
546,547,Son of Rambow,96,2007,7.0,66,Garth Jennings ,nan,nan
547,548,Ip Man 3,105,2015,7.0,57,Wilson Yip ,nan,nan
548,549,Dragon: The Bruce Lee Story,120,1993,7.0,69,Rob Cohen ,nan,nan
549,550,Curse of the Golden Flower,114,2006,7.0,70,Yimou Zhang ,nan,nan
550,551,Sultan,170,2016,7.0,Nan,Ali Abbas Zafar ,nan,nan
551,552,The Protector,111,2005,7.0,52,Prachya Pinkaew ,nan,nan
552,553,Kabir Singh,173,2019,7.0,Nan,Sandeep Reddy Vanga ,nan,nan
553,554,Don 2,148,2011,7.0,49,Farhan Akhtar ,nan,nan
554,555,Main Hoon Na,179,2004,7.0,Nan,Farah Khan ,nan,nan
555,556,The Warlords,126,2007,7.0,70,Peter Ho-Sun Chan, Wai-Man Yip ,nan
556,557,The Legend Is Born: Ip Man,100,2010,7.0,Nan,Herman Yau ,nan,nan
557,558,Vikrant Rona,148,2022,7.0,Nan,Anup Bhandari ,nan,nan
558,559,Top Gun,109,1986,6.9,50,Tony Scott ,nan,nan
559,560,The Last Kingdom: Seven Kings Must Die,111,2023,6.9,48,Edward Bazalgette ,nan,nan
560,561,Doctor Strange in the Multiverse of Madness,126,2022,6.9,60,Sam Raimi ,nan,nan
561,562,Game Night,100,2018,6.9,66,John Francis Daley, Jonathan Goldstein ,nan
562,563,Captain America: The First Avenger,124,2011,6.9,66,Joe Johnston ,nan,nan
563,564,Conan the Barbarian,129,1982,6.9,43,John Milius ,nan,nan
564,565,Jumanji: Welcome to the Jungle,119,2017,6.9,58,Jake Kasdan ,nan,nan
565,566,Jurassic World,124,2015,6.9,59,Colin Trevorrow ,nan,nan
566,567,The Amazing Spider-Man,136,2012,6.9,66,Marc Webb ,nan,nan
567,568,Star Wars: Episode VIII - The Last Jedi,152,2017,6.9,84,Rian Johnson ,nan,nan
568,569,Solo: A Star Wars Story,135,2018,6.9,62,Ron Howard ,nan,nan
569,570,Mission: Impossible III,126,2006,6.9,66,J.J. Abrams ,nan,nan
570,571,The Mask,101,1994,6.9,56,Chuck Russell ,nan,nan
571,572,The Guardian,139,2006,6.9,53,Andrew Davis ,nan,nan
572,573,A Knight's Tale,132,2001,6.9,56,Brian Helgeland ,nan,nan
573,574,Iron Man 2,124,2010,6.9,57,Jon Favreau ,nan,nan
574,575,X-Men: Apocalypse,144,2016,6.9,52,Bryan Singer ,nan,nan
575,576,Con Air,115,1997,6.9,52,Simon West ,nan,nan
576,577,Pacific Rim,131,2013,6.9,65,Guillermo del Toro ,nan,nan
577,578,Atlantis: The Lost Empire,95,2001,6.9,52,Gary Trousdale, Kirk Wise ,nan
578,579,Romancing the Stone,106,1984,6.9,63,Robert Zemeckis ,nan,nan
579,580,Robin Hood: Prince of Thieves,143,1991,6.9,51,Kevin Reynolds ,nan,nan
580,581,National Treasure,131,2004,6.9,40,Jon Turteltaub ,nan,nan
581,582,The Hitman's Bodyguard,118,2017,6.9,47,Patrick Hughes ,nan,nan
582,583,Dragged Across Concrete,159,2018,6.9,60,S. Craig Zahler ,nan,nan
583,584,Love and Monsters,109,2020,6.9,63,Michael Matthews ,nan,nan
584,585,Clear and Present Danger,141,1994,6.9,74,Phillip Noyce ,nan,nan
585,586,The World's End,109,2013,6.9,81,Edgar Wright ,nan,nan
586,587,28 Weeks Later,100,2007,6.9,78,Juan Carlos Fresnadillo ,nan,nan
587,588,In the Heart of the Sea,122,2015,6.9,47,Ron Howard ,nan,nan
588,589,Pineapple Express,111,2008,6.9,64,David Gordon Green ,nan,nan
589,590,Outlaw King,121,2018,6.9,59,David Mackenzie ,nan,nan
590,591,Clash of the Titans,118,1981,6.9,59,Desmond Davis ,nan,nan
591,592,Thunderball,130,1965,6.9,64,Terence Young ,nan,nan
592,593,Crank,88,2006,6.9,57,Mark Neveldine, Brian Taylor ,nan
593,594,Non-Stop,106,2014,6.9,56,Jaume Collet-Serra ,nan,nan
594,595,The Edge,117,1997,6.9,66,Lee Tamahori ,nan,nan
595,596,48 Hrs,96,1982,6.9,71,Walter Hill ,nan,nan
596,597,The Last Castle,131,2001,6.9,43,Rod Lurie ,nan,nan
597,598,Death Wish,93,1974,6.9,51,Michael Winner ,nan,nan
598,599,The Night Comes for Us,121,2018,6.9,69,Timo Tjahjanto ,nan,nan
599,600,Repo Man,92,1984,6.9,82,Alex Cox ,nan,nan
600,601,Westworld,88,1973,6.9,77,Michael Crichton ,nan,nan
601,602,Memphis Belle,107,1990,6.9,59,Michael Caton-Jones ,nan,nan
602,603,The Monster Squad,79,1987,6.9,61,Fred Dekker ,nan,nan
603,604,Muppet Treasure Island,99,1996,6.9,64,Brian Henson, David Lane ,nan
604,605,Free State of Jones,139,2016,6.9,53,Gary Ross ,nan,nan
605,606,All Is Lost,106,2013,6.9,87,J.C. Chandor ,nan,nan
606,607,Legend of the Guardians: The Owls of Ga'Hoole,97,2010,6.9,53,Zack Snyder ,nan,nan
607,608,Get the Gringo,96,2012,6.9,60,Adrian Grunberg ,nan,nan
608,609,The Big Boss,99,1971,6.9,Nan,Wei Lo, Chia-Hsiang Wu ,nan
609,610,New Police Story,123,2004,6.9,Nan,Benny Chan ,nan,nan
610,611,Traitor,114,2008,6.9,61,Jeffrey Nachmanoff ,nan,nan
611,612,Slow West,84,2015,6.9,72,John Maclean ,nan,nan
612,613,Agneepath,174,2012,6.9,Nan,Karan Malhotra ,nan,nan
613,614,Alan Partridge,90,2013,6.9,66,Declan Lowney ,nan,nan
614,615,Fan,142,2016,6.9,Nan,Maneesh Sharma ,nan,nan
615,616,The Fast and the Furious,106,2001,6.8,58,Rob Cohen ,nan,nan
616,617,The Woman King,135,2022,6.8,77,Gina Prince-Bythewood ,nan,nan
617,618,The Magnificent Seven,132,2016,6.8,54,Antoine Fuqua ,nan,nan
618,619,Ready or Not,95,2019,6.8,64,Matt Bettinelli-Olpin, Tyler Gillett ,nan
619,620,Aquaman,143,2018,6.8,55,James Wan ,nan,nan
620,621,Mad Max,88,1979,6.8,73,George Miller ,nan,nan
621,622,Captain Marvel,123,2019,6.8,64,Anna Boden, Ryan Fleck ,nan
622,623,Men in Black 3,106,2012,6.8,58,Barry Sonnenfeld ,nan,nan
623,624,The Maze Runner,113,2014,6.8,57,Wes Ball ,nan,nan
624,625,TRON: Legacy,125,2010,6.8,49,Joseph Kosinski ,nan,nan
625,626,Spectre,148,2015,6.8,60,Sam Mendes ,nan,nan
626,627,What Happened to Monday,123,2017,6.8,47,Tommy Wirkola ,nan,nan
627,628,Hellboy,122,2004,6.8,72,Guillermo del Toro ,nan,nan
628,629,Thor: The Dark World,112,2013,6.8,54,Alan Taylor ,nan,nan
629,630,Hanna,111,2011,6.8,65,Joe Wright ,nan,nan
630,631,Bloodsport,92,1988,6.8,29,Newt Arnold ,nan,nan
631,632,Bad Boys,119,1995,6.8,41,Michael Bay ,nan,nan
632,633,The Book of Eli,118,2010,6.8,53,Albert Hughes, Allen Hughes ,nan
633,634,Boss Level,100,2020,6.8,56,Joe Carnahan ,nan,nan
634,635,You Only Live Twice,117,1967,6.8,61,Lewis Gilbert ,nan,nan
635,636,Young Guns,107,1988,6.8,50,Christopher Cain ,nan,nan
636,637,The Transporter,92,2002,6.8,51,Louis Leterrier, Corey Yuen ,nan
637,638,News of the World,118,2020,6.8,73,Paul Greengrass ,nan,nan
638,639,Ghostbusters,117,2016,6.8,60,Paul Feig ,nan,nan
639,640,The Outpost,123,2019,6.8,71,Rod Lurie ,nan,nan
640,641,The Island,136,2005,6.8,50,Michael Bay ,nan,nan
641,642,Logan's Run,119,1976,6.8,53,Michael Anderson ,nan,nan
642,643,The Long Kiss Goodnight,121,1996,6.8,44,Renny Harlin ,nan,nan
643,644,Chappie,120,2015,6.8,41,Neill Blomkamp ,nan,nan
644,645,The Mask of Zorro,136,1998,6.8,63,Martin Campbell ,nan,nan
645,646,Superman II,127,1980,6.8,83,Richard Lester, Richard Donner ,nan
646,647,Patriot Games,117,1992,6.8,64,Phillip Noyce ,nan,nan
647,648,Unstoppable,98,2010,6.8,69,Tony Scott ,nan,nan
648,649,Shin Godzilla,120,2016,6.8,67,Hideaki Anno, Shinji Higuchi ,nan
649,650,Spies in Disguise,102,2019,6.8,54,Nick Bruno, Troy Quane ,nan
650,651,Street Kings,109,2008,6.8,55,David Ayer ,nan,nan
651,652,Four Brothers,109,2005,6.8,49,John Singleton ,nan,nan
652,653,The Score,124,2001,6.8,71,Frank Oz ,nan,nan
653,654,Innerspace,120,1987,6.8,66,Joe Dante ,nan,nan
654,655,Unknown,113,2011,6.8,56,Jaume Collet-Serra ,nan,nan
655,656,Dog Soldiers,105,2002,6.8,Nan,Neil Marshall ,nan,nan
656,657,Tristan + Isolde,125,2006,6.8,49,Kevin Reynolds ,nan,nan
657,658,Three Steps Above Heaven,118,2010,6.8,Nan,Fernando González Molina ,nan,nan
658,659,El Mariachi,81,1992,6.8,73,Robert Rodriguez ,nan,nan
659,660,Enemy Mine,108,1985,6.8,59,Wolfgang Petersen ,nan,nan
660,661,Green Zone,115,2010,6.8,63,Paul Greengrass ,nan,nan
661,662,We Own the Night,117,2007,6.8,59,James Gray ,nan,nan
662,663,Harsh Times,116,2005,6.8,56,David Ayer ,nan,nan
663,664,Who Am I?,108,1998,6.8,Nan,Benny Chan, Jackie Chan ,nan
664,665,Dead Snow 2: Red vs,100,2014,6.8,59,Tommy Wirkola ,nan,nan
665,666,The Legend,161,2022,6.8,Nan,Jerry, Joseph D. Sami ,nan
666,667,Violent Night,112,2022,6.7,55,Tommy Wirkola ,nan,nan
667,668,Black Panther: Wakanda Forever,161,2022,6.7,67,Ryan Coogler ,nan,nan
668,669,Extraction,116,2020,6.7,56,Sam Hargrave ,nan,nan
669,670,Black Widow,134,2021,6.7,68,Cate Shortland ,nan,nan
670,671,Kingsman: The Golden Circle,141,2017,6.7,44,Matthew Vaughn ,nan,nan
671,672,Commando,90,1985,6.7,51,Mark L. Lester ,nan,nan
672,673,Safe House,115,2012,6.7,52,Daniel Espinosa ,nan,nan
673,674,Jumanji: The Next Level,123,2019,6.7,58,Jake Kasdan ,nan,nan
674,675,Bumblebee,114,2018,6.7,66,Travis Knight ,nan,nan
675,676,Road House,114,1989,6.7,36,Rowdy Herrington ,nan,nan
676,677,In Time,109,2011,6.7,53,Andrew Niccol ,nan,nan
677,678,The Equalizer 2,121,2018,6.7,50,Antoine Fuqua ,nan,nan
678,679,Warcraft,123,2016,6.7,32,Duncan Jones ,nan,nan
679,680,Armageddon,151,1998,6.7,42,Michael Bay ,nan,nan
680,681,The Adam Project,106,2022,6.7,55,Shawn Levy ,nan,nan
681,682,Teenage Mutant Ninja Turtles,93,1990,6.7,51,Steve Barron ,nan,nan
682,683,Wanted,110,2008,6.7,64,Timur Bekmambetov ,nan,nan
683,684,The Running Man,101,1987,6.7,45,Paul Michael Glaser ,nan,nan
684,685,Atomic Blonde,115,2017,6.7,63,David Leitch ,nan,nan
685,686,Midway,138,2019,6.7,47,Roland Emmerich ,nan,nan
686,687,King Arthur: Legend of the Sword,126,2017,6.7,41,Guy Ritchie ,nan,nan
687,688,Enola Holmes 2,129,2022,6.7,64,Harry Bradbeer ,nan,nan
688,689,The A-Team,117,2010,6.7,47,Joe Carnahan ,nan,nan
689,690,The Wolverine,126,2013,6.7,61,James Mangold ,nan,nan
690,691,2 Guns,109,2013,6.7,55,Baltasar Kormákur ,nan,nan
691,692,The Last Starfighter,101,1984,6.7,67,Nick Castle ,nan,nan
