,Movie Name,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross Collection,Certification,votes
41,Batman Begins, Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson,Action, Crime, Drama,206.85,PG-13 ,"1,504,140"
42,Kill Bill: Vol, Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen,Action, Crime, Drama,70.10,R ,"1,141,392"
43,Die Hard, Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,Action, Thriller,Nan,83.01,R ,"901,726"
44,V for Vendetta, Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea,Action, Drama, Sci-Fi,70.51,R ,"1,141,279"
45,Demon Slayer the Movie: Mugen Train, Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono,Animation, Action, Adventure,47.70,R ,"64,503"
46,Ran, Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû,Action, Drama, War,4.14,R ,"129,247"
47,Gangs of Wasseypur, Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha,Action, Comedy, Crime,Nan,Not Rated ,"99,402"
48,Vikram Vedha, Madhavan, Vijay Sethupathi, Shraddha Srinath, Kathir,Action, Crime, Drama,Nan,Not Rated ,"47,717"
49,Yojimbo, Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa,Action, Drama, Thriller,Nan,Not Rated ,"125,925"
50,Uri: The Surgical Strike, Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam,Action, Drama, History,4.19,Not Rated ,"67,422"
51,Baahubali 2: The Conclusion, Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia,Action, Drama,Nan,20.19,Not Rated ,"106,795"
52,K, Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois,Action, Crime, Drama,Nan,Not Rated ,"91,660"
53,Rangasthalam 1985, Ram Charan, Samantha Ruth Prabhu, Aadhi, Jagapathi Babu,Action, Drama,Nan,3.51,Not Rated ,"26,160"
54,Sherlock Jr, Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly,Action, Comedy, Romance,0.98,Passed ,"52,501"
55,The Mountain II, Caglar Ertugrul, Ufuk Bayraktar, Ahu Türkpençe, Murat Serezli,Action, Drama, War,Nan,Nan,"109,191"
56,Paan Singh Tomar, Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya,Action, Biography, Crime,0.04,Not Rated ,"37,053"
57,Mad Max: Fury Road, Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz,Action, Adventure, Sci-Fi,154.06,R ,"1,030,860"
58,Pirates of the Caribbean: The Curse of the Black Pearl, Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley,Action, Adventure, Fantasy,305.41,PG-13 ,"1,154,336"
59,Blade Runner, Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos,Action, Drama, Sci-Fi,32.87,R ,"788,402"
60,Ford v Ferrari, Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe,Action, Biography, Drama,117.62,PG-13 ,"419,488"
61,The Terminator, Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield,Action, Sci-Fi,Nan,38.40,R ,"885,919"
62,Logan, Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook,Action, Drama, Sci-Fi,226.28,R ,"788,131"
63,How to Train Your Dragon, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson,Animation, Action, Adventure,217.58,PG ,"761,856"
64,Rush, Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara,Action, Biography, Drama,26.95,R ,"491,392"
65,"Lock, Stock and Two Smoking Barrels", Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham,Action, Comedy, Crime,3.90,R ,"595,532"
66,Warrior, Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison,Action, Drama, Sport,13.66,PG-13 ,"482,025"
67,The Iron Giant, Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel,Animation, Action, Adventure,23.16,PG ,"209,373"
68,Neon Genesis Evangelion: The End of Evangelion, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi,Animation, Action, Drama,Nan,TV-MA ,"58,631"
